iter	Passed	Remaining
0	138	138270
1	142	70966
2	145	48384
3	148	37040
4	151	30180
5	155	25682
6	158	22426
7	161	20019
8	164	18116
9	167	16577
10	170	15338
11	173	14292
12	176	13412
13	179	12664
14	183	12021
15	186	11474
16	190	11020
17	193	10580
18	197	10195
19	200	9836
20	204	9529
21	207	9220
22	210	8937
23	213	8698
24	216	8462
25	220	8251
26	223	8055
27	226	7877
28	230	7716
29	233	7560
30	237	7416
31	240	7275
32	243	7143
33	246	7017
34	250	6895
35	253	6795
36	257	6698
37	260	6604
38	263	6503
39	267	6414
40	270	6329
41	273	6243
42	276	6159
43	280	6096
44	283	6016
45	298	6180
46	301	6112
47	304	6040
48	307	5975
49	311	5921
50	315	5865
51	317	5788
52	320	5734
53	324	5684
54	327	5630
55	330	5576
56	334	5525
57	337	5478
58	340	5436
59	343	5389
60	347	5353
61	351	5313
62	354	5270
63	357	5231
64	361	5195
65	365	5165
66	369	5150
67	373	5115
68	376	5082
69	379	5048
70	383	5024
71	387	4989
72	390	4958
73	393	4925
74	397	4908
75	401	4882
76	404	4852
77	408	4825
78	411	4795
79	414	4767
80	417	4736
81	420	4712
82	424	4687
83	427	4664
84	431	4640
85	434	4618
86	437	4595
87	441	4572
88	444	4548
89	448	4529
90	450	4503
91	454	4485
92	457	4465
93	461	4450
94	465	4432
95	469	4417
96	472	4401
97	476	4383
98	479	4366
99	482	4345
100	486	4326
101	489	4306
102	492	4288
103	495	4270
104	499	4257
105	502	4238
106	505	4219
107	508	4199
108	511	4183
109	514	4164
110	517	4147
111	520	4129
112	524	4113
113	527	4097
114	536	4132
115	540	4116
116	543	4100
117	546	4087
118	550	4074
119	553	4058
120	556	4041
121	559	4026
122	562	4012
123	565	3998
124	570	3992
125	573	3981
126	578	3974
127	582	3965
128	585	3951
129	588	3937
130	592	3928
131	595	3918
132	598	3904
133	602	3894
134	606	3883
135	609	3869
136	612	3856
137	615	3846
138	619	3834
139	622	3825
140	626	3815
141	629	3805
142	633	3793
143	636	3782
144	638	3763
145	641	3752
146	644	3740
147	648	3730
148	651	3721
149	654	3710
150	657	3699
151	661	3691
152	664	3681
153	668	3673
154	671	3661
155	675	3653
156	678	3643
157	682	3636
158	685	3627
159	689	3618
160	692	3610
161	696	3602
162	700	3594
163	703	3584
164	706	3577
165	709	3563
166	712	3553
167	715	3543
168	719	3535
169	722	3525
170	725	3518
171	728	3508
172	732	3500
173	735	3491
174	739	3484
175	742	3477
176	746	3471
177	750	3465
178	753	3456
179	756	3447
180	760	3439
181	763	3430
182	766	3421
183	769	3411
184	772	3403
185	776	3397
186	779	3388
187	782	3381
188	786	3373
189	789	3365
190	792	3356
191	795	3346
192	798	3339
193	800	3326
194	803	3317
195	806	3309
196	810	3302
197	813	3294
198	816	3286
199	819	3277
200	822	3268
201	825	3260
202	828	3254
203	832	3247
204	835	3239
205	838	3230
206	841	3221
207	844	3214
208	847	3206
209	850	3199
210	853	3192
211	856	3185
212	859	3177
213	862	3169
214	866	3163
215	869	3156
216	872	3149
217	875	3141
218	878	3133
219	882	3127
220	883	3115
221	887	3109
222	890	3103
223	893	3096
224	896	3089
225	900	3082
226	902	3074
227	905	3067
228	908	3059
229	912	3053
230	915	3046
231	918	3039
232	920	3031
233	923	3024
234	927	3017
235	930	3010
236	933	3005
237	936	2999
238	939	2992
239	943	2986
240	946	2979
241	949	2973
242	952	2967
243	956	2962
244	959	2956
245	962	2950
246	965	2943
247	968	2935
248	971	2930
249	974	2924
250	978	2919
251	981	2914
252	985	2909
253	988	2902
254	991	2895
255	994	2891
256	998	2885
257	1000	2878
258	1004	2874
259	1007	2868
260	1010	2862
261	1014	2857
262	1018	2853
263	1021	2848
264	1024	2842
265	1028	2838
266	1032	2833
267	1035	2827
268	1038	2821
269	1042	2817
270	1045	2811
271	1048	2805
272	1051	2800
273	1054	2793
274	1057	2787
275	1060	2781
276	1063	2775
277	1066	2770
278	1070	2765
279	1074	2761
280	1077	2755
281	1080	2750
282	1083	2745
283	1087	2740
284	1090	2734
285	1093	2730
286	1096	2725
287	1100	2720
288	1103	2714
289	1106	2709
290	1110	2705
291	1113	2700
292	1116	2693
293	1120	2690
294	1123	2685
295	1127	2681
296	1130	2675
297	1133	2670
298	1136	2665
299	1140	2660
300	1143	2654
301	1146	2650
302	1150	2645
303	1153	2640
304	1156	2635
305	1159	2630
306	1163	2626
307	1168	2624
308	1171	2620
309	1175	2615
310	1178	2611
311	1181	2606
312	1185	2600
313	1188	2595
314	1191	2590
315	1194	2585
316	1198	2581
317	1201	2576
318	1204	2571
319	1208	2567
320	1211	2562
321	1214	2557
322	1217	2551
323	1220	2547
324	1224	2542
325	1227	2538
326	1230	2533
327	1234	2529
328	1238	2525
329	1241	2520
330	1245	2516
331	1248	2512
332	1251	2507
333	1255	2503
334	1258	2499
335	1262	2494
336	1265	2489
337	1268	2484
338	1272	2480
339	1275	2475
340	1278	2470
341	1281	2465
342	1284	2459
343	1287	2455
344	1290	2450
345	1294	2445
346	1297	2440
347	1300	2435
348	1303	2430
349	1306	2425
350	1309	2421
351	1312	2416
352	1315	2411
353	1319	2408
354	1323	2404
355	1326	2400
356	1328	2393
357	1332	2389
358	1335	2385
359	1339	2381
360	1342	2376
361	1346	2372
362	1349	2367
363	1352	2363
364	1354	2356
365	1358	2352
366	1362	2349
367	1365	2345
368	1369	2342
369	1373	2338
370	1377	2334
371	1380	2330
372	1384	2327
373	1388	2323
374	1391	2318
375	1394	2314
376	1397	2309
377	1400	2304
378	1403	2300
379	1406	2295
380	1410	2291
381	1413	2286
382	1416	2282
383	1420	2277
384	1423	2274
385	1427	2270
386	1430	2266
387	1434	2261
388	1437	2257
389	1440	2253
390	1444	2249
391	1447	2244
392	1450	2240
393	1453	2236
394	1457	2232
395	1460	2227
396	1463	2223
397	1467	2220
398	1471	2216
399	1474	2212
400	1478	2207
401	1481	2204
402	1484	2199
403	1488	2195
404	1491	2190
405	1495	2187
406	1501	2187
407	1505	2184
408	1508	2180
409	1512	2176
410	1516	2173
411	1519	2168
412	1522	2164
413	1526	2160
414	1529	2155
415	1532	2151
416	1535	2146
417	1538	2142
418	1542	2138
419	1545	2134
420	1549	2130
421	1552	2126
422	1556	2122
423	1559	2118
424	1563	2115
425	1566	2111
426	1570	2107
427	1573	2103
428	1577	2099
429	1579	2094
430	1583	2090
431	1586	2085
432	1589	2081
433	1592	2077
434	1595	2072
435	1598	2068
436	1602	2063
437	1605	2059
438	1608	2054
439	1611	2051
440	1615	2047
441	1617	2042
442	1620	2038
443	1624	2033
444	1627	2029
445	1630	2025
446	1633	2020
447	1636	2016
448	1639	2012
449	1642	2007
450	1645	2003
451	1649	1999
452	1651	1994
453	1656	1992
454	1659	1987
455	1662	1983
456	1665	1978
457	1669	1976
458	1673	1971
459	1676	1967
460	1679	1963
461	1683	1960
462	1686	1955
463	1689	1952
464	1692	1947
465	1696	1943
466	1699	1939
467	1702	1935
468	1705	1931
469	1709	1927
470	1712	1923
471	1715	1918
472	1718	1914
473	1721	1910
474	1725	1906
475	1728	1902
476	1731	1898
477	1735	1894
478	1738	1890
479	1741	1886
480	1744	1882
481	1747	1878
482	1750	1873
483	1754	1870
484	1758	1867
485	1761	1863
486	1764	1859
487	1768	1855
488	1771	1851
489	1774	1846
490	1777	1842
491	1781	1838
492	1783	1834
493	1787	1830
494	1796	1832
495	1800	1829
496	1803	1824
497	1806	1820
498	1809	1816
499	1812	1812
500	1815	1808
501	1818	1804
502	1821	1800
503	1825	1796
504	1828	1791
505	1830	1787
506	1833	1783
507	1836	1778
508	1840	1774
509	1842	1770
510	1846	1766
511	1849	1762
512	1852	1758
513	1854	1753
514	1858	1750
515	1861	1745
516	1864	1742
517	1867	1737
518	1871	1734
519	1873	1729
520	1876	1725
521	1880	1721
522	1883	1717
523	1886	1713
524	1889	1709
525	1892	1705
526	1896	1701
527	1899	1697
528	1902	1694
529	1905	1690
530	1909	1686
531	1912	1682
532	1915	1678
533	1918	1674
534	1922	1670
535	1925	1666
536	1928	1662
537	1931	1658
538	1934	1654
539	1938	1651
540	1941	1647
541	1944	1642
542	1947	1638
543	1952	1636
544	1956	1633
545	1959	1629
546	1963	1626
547	1967	1622
548	1970	1618
549	1973	1614
550	1976	1610
551	1979	1606
552	1982	1602
553	1986	1598
554	1989	1595
555	1992	1591
556	1995	1587
557	1998	1583
558	2002	1579
559	2005	1575
560	2009	1572
561	2012	1568
562	2015	1564
563	2017	1559
564	2021	1556
565	2024	1552
566	2027	1548
567	2030	1544
568	2034	1541
